label	sentence
negative	It is a disappointment to see the plan folded .
neutral	Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 .
neutral	Profit of the accounting period was EUR 0.3 mn .
neutral	M-real Corporation Stock Exchange Announcement 29 September 2006 at 4.15 p.m. Kyro Corporation and M-real Corporation , a Metsaliitto Group subsidiary , have agreed on an arrangement which gives M-real option to purchase the Kyroskoski natural gas powerplant from Kyro .
positive	Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .
positive	Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .
positive	Ragutis , controlled by the Finnish brewery Olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .
neutral	Previously , the company expected its 2008 financial performance to remain at the same level as in 2008 .
neutral	Stockholm , 3 March 2011 About Cybercom The Cybercom Group is a high-tech consultancy that offers global sourcing for end-to-end solutions .
neutral	The most popular mobile data services are email , surfing the internet , as well as news and weather services .
positive	The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009 .
neutral	However , the production is almost entirely very labor intensive and based on small investments only .
neutral	The solution will now be expanded to include all ground staff tasks .
neutral	These share transactions are part of the company 's strategy of relinquishing assets that are not part of its core business .
neutral	The Finnish investment company Sponda is conducting negotiations to acquire the business center Dukat Palace-2 located in the center of Moscow , from London & Regional Properties .
positive	The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .
neutral	The total size of the complex is around 25,000 m2 and the project will be constructed in stages .
negative	( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .
neutral	rosendal at outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , +358 400 817198 e-mail eila .
neutral	Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse .
neutral	YIT acquired investment rights to a 10,000 square metre residential project in Yaroslavl and to a 16,400 square metre project in Moscow .
neutral	The second variant offers complete final finishing of any selected apartment with foreign high quality materials ( Finland , Denmark , Germany , France ) .
positive	Uponor improved its performance in spite of the decrease in residential construction in the US .
neutral	The company expects its net sales for the whole 2009 to be at previous year levels .
positive	Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .
positive	Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .
positive	Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .
neutral	He will report to CapMan Plc 's CEO Heikki Westerlund .
positive	This will bring cost savings of about EUR 3mn a year .
neutral	According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .
neutral	`` Our research shows that access to information technology has been one of the limiting factors for most small businesses especially when they work in a heterogenous network based environment .
neutral	The aim of the bridge solutions chosen is to minimize construction times while ensuring that traffic beneath the bridge on the Saimaa canal continues undisturbed .
neutral	Jensen , Njastein and Mike Critch , the head of Dovre North America business unit , will report to Toivola .
neutral	The Group 's turnover in 2006 was EUR 39.2 million , and operating profit was EUR 3.9 million .
neutral	Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .
neutral	Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 .
neutral	Timo Penttila has been appointed new manager responsible for the asset management of Nordea 's institutional customers in Finland .
negative	Thanks to the internet , consumers compare products more than previously and Finnish companies are not competitive .
positive	The agreement expands Tekla Structures ' scope of use to bridge design .
neutral	At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .
neutral	The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .
neutral	The share capital of Basware Corporation is 11,720,829 .
neutral	The Costanza light , with an aluminum base and washable shade , comes in white , pistachio , orange , blue and red .
negative	In Q1 of 2009 , Bank of +àland 's net interest income weakened by 10 % to EUR 9.1 mn .
neutral	CapMan , with offices in Helsinki , Stockholm , Copenhagen and Oslo , manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EUR2 .6 bn in total capital .
neutral	In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .
negative	The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier .
negative	As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .
neutral	Rautaruukki aims to find work from the group 's other locations for those who have been made redundant .
neutral	The cooperation will involve Arena Partners buying a 35 % share of the new joint venture company , operating in Alma Media 's home sales , vehicle and consumer advertising marketplace businesses .
positive	`` Our extensive co-operation will also bolster SysOpen Digia 's position in the domestic operator market , '' Kallioranta adds .
neutral	Sanoma Corporation wants a new and better frequency for the Helsinki metropolitan area .
neutral	The value of the orders is over EUR 10mn .
neutral	Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis .
